username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at
Divided Films,/channel/UC6ZtPgWIkgpUm61Cmr75vAg,Mni Wiconi: The Stand at Standing Rock,290K,290K views,/watch?v=4FDuqYld8C8,Mni Wiconi features water protectors from the Standing Rock Sioux Tribe and allies trying to stop the 1100-mile Dakota Access ...,2021-04-14 02:28:00.091698
Sally Kellett,/channel/UC6ppB4KD24zpddtQ0Th_nHg,Standing Rock Oct  27th,25K,25K views,/watch?v=sx0a7IQiqcM,"Mike Fasig has asked me to officially release this video in the UK, showing what really happened at Standing Rock on Oct 27th ...",2021-04-14 02:28:00.091698
Bullfrog Films,/user/bullfrogfilms,"Bullfrog Films presents...AWAKE, A DREAM FROM STANDING ROCK",22K,22K views,/watch?v=Czd-VP6dlxA,"A film by Josh Fox, James Spione, and Myron Dewey Available for educational use from Bullfrog Films: ...",2021-04-14 02:28:11.568214
Status Coup,/user/jchar22,Remembering LaDonna Brave Bull Allard of the Standing Rock Sioux Tribe,1.9K,1.9K views,/watch?v=G9MX0D_WuoA,"LaDonna Brave Bull Allard of the Standing Rock Sioux Tribe has passed away. Here, Jordan Chariton pays her tribute from his ...",2021-04-14 02:28:11.569212
Aaron Katz,/user/akatz2134,"Dave Matthews & Tim Reynolds | Stand With Standing Rock Benefit Concert | Washington, DC | 11/27/16",130K,130K views,/watch?v=86m1GhJP4dQ,"Dave Matthews & Tim Reynolds Stand With Standing Rock Benefit Concert D.A.R. Constitution Hall | Washington, D.C. November ...",2021-04-14 02:28:11.570209
Rebel News,/channel/UCGy6uV7yqGWDeUWTZzT3ZEg,The Truth About Standing Rock,222K,222K views,/watch?v=AnNZ8qmDTQA,Lauren Southern of TheRebel.media tells you the parts of the Standing Rock/DAPL pipeline protest story the media is leaving out.,2021-04-14 02:28:11.572204
DemocracyNowEs,/user/DemocracyNowEs,"La activista de la Tribu sioux de Standing Rock LaDonna Brave Bull Allard, muere a los 64 años",2,2 views,/watch?v=ziNmx_y6cNQ,"Para más información visite nuestra web: http://ow.ly/yH4a30rEpmf En el estado de Dakota del Norte, la historiadora de la Tribu ...",2021-04-14 02:28:11.573201
Prolific The Rapper,/user/prolificmusicmv,A Tribe Called Red x Prolific The Rapper - Black Snakes (Remix),491K,491K views,/watch?v=nh_HCqp3sd0,"Much love Standing Rock, Oceti Sakowin, Turtle Island, all Indigenous Nations overseas, all spiritual leaders, and all beautiful ...",2021-04-14 02:28:11.574198
Democracy Now!,/user/democracynow,Standing Rock Special: Unlicensed #DAPL Guards Attacked Water Protectors with Dogs & Pepper Spray,23K,23K views,/watch?v=cxcYNM9o6go,http://democracynow.org - Many across the United States are celebrating this Thanksgiving holiday. But many for Native ...,2021-04-14 02:28:11.575195
Oceti Sakowin Camp,/channel/UCNcAeq-kQk-WA3q-sJEXUvg,Forgiveness Ceremony: Veterans Kneel at Standing Rock,27K,27K views,/watch?v=OjotlPIlRqw,"At Standing Rock Reservation, veterans take a knee before indigenous leaders and ask forgiveness on behalf of the United States ...",2021-04-14 02:28:11.576193
Democracy Now!,/user/democracynow,“A Dream That Comes True”: Standing Rock Elder Hails Order to Shut Down DAPL After Years of Protest,57K,57K views,/watch?v=M3wq7wkgvYY,"Following years of resistance, the Standing Rock Sioux Tribe and Indigenous organizers across the country scored a massive ...",2021-04-14 02:28:11.578187
gisborneherald,/user/gisborneherald,#Live Haka supports Standing Rock,134K,134K views,/watch?v=oCVg3Av6uRQ,TAIRAWHITI Maori have gone global with two rousing haka in their support for those protesting a multibillion-dollar oil pipeline at ...,2021-04-14 02:28:11.578187
TIME,/user/TimeMagazine,Alexandria Ocasio-Cortez: Inside Her Trip To Standing Rock | TIME,45K,45K views,/watch?v=NtwQ2x5bJvY,Ocasio-Cortez often mentions her journey to Standing Rock as a pivotal moment of political awakening. Subscribe to TIME ...,2021-04-14 02:28:11.580182
ABC News,/user/ABCNews,"The end of the Standing Rock standoff between authorities, protestors",86K,86K views,/watch?v=BqXlLudFQa0,Protests had been going for months in an attempt to stop the Dakota Access Pipeline from being built next the Sioux tribe's sacred ...,2021-04-14 02:28:11.581179
CARLA H.,/user/5383700,"The Whole World is Watching, Pray with Standing Rock",67K,67K views,/watch?v=w76mDrIL6qU,The word 'prayer' is a native led request. Standing Rock is a prayer camp. You can pray in whatever way is appropriate for you.,2021-04-14 02:28:11.582176
Jaguar Bird,/channel/UCe2-1UmGzRH1XF9uMvPMzWQ,"The Standing Rock Sioux Tribe & People: Dakota & Lakota - History, Culture, 2016 Protest  & Updates",1.9K,1.9K views,/watch?v=mLAKeDXwZWY,"This video is for the ""The Standing Rock Tribe & People"", ..their history, culture, affiliations.., the DAPL 2016 protest and updates.",2021-04-14 02:28:11.583174
Homestead Guru,/channel/UCBPAAxtr_3QfvIWMJeObAPg,Standing Rock Buffalo Stampede From the Protest,118K,118K views,/watch?v=Yy6BF9zez90,Here is a view of the Buffalo Nation Stampede from the angle of the protesters - hear them come alive when they see them!,2021-04-14 02:28:11.584171
FUSION,/user/thisisfusion,Breaking Down Broken Promises: Standing Rock Explained,5.6K,5.6K views,/watch?v=Rqob7UiCkcw,"Remember that time the U.S. government encroached on sovereign native land Standing Rock? Oh yeah, it wasn't just one time, ...",2021-04-14 02:28:11.585168
The Obama White House,/channel/UCDGknzyQfNiThyt4vg4MlTQ,"Highlights: President Obama Visits Standing Rock Reservation, North Dakota, June 13, 2014",48K,48K views,/watch?v=70wsOvkZUMA,President Obama and the First Lady made an historic visit to Standing Rock Indian Reservation in North Dakota during the annual ...,2021-04-14 02:28:11.586166
NBC News,/user/NBCNews,Veterans Stand Ground With Pipeline Protesters At Standing Rock | NBC News,24K,24K views,/watch?v=_rsAyaSdkJc,"NBC News is a leading source of global news and information. Here you will find clips from NBC Nightly News, Meet The Press, ...",2021-04-14 02:28:11.588160
Native Daily Network,/channel/UCPWr-O40Re1olxYLYDG1YfA,The Aztecs arrive at Standing Rock,36K,36K views,/watch?v=vMBPU0QbmYw,Goosebumps! Amazing scenes from a windy Oceti Sakowin camp as the Mexicas (Aztecs) arrive. Video courtesy of Dakota Morse.,2021-04-14 02:28:11.589158
The Jimmy Dore Show,/user/TYTComedy,2 Cops Quit Over Tactics At Standing Rock North Dakota,165K,165K views,/watch?v=1Dqm0XyhBZE,The police force engaging in violent attacks in the Dakota Access Pipeline protests are cowards for the violence they are inflicting ...,2021-04-14 02:28:11.590155
